,long,lat,year,TimePeriod,RCP,scenario,treecanopy_percent,Ann_Herb_percent,Bare_percent,Herb_percent,Litter_percent,Shrub_percent,DrySoilDays_Summer_whole,Evap_Summer,ExtremeShortTermDryStress_Summer_whole,FrostDays_Winter,NonDrySWA_Summer_whole,PPT_Winter,PPT_Summer,T_Winter,T_Summer,Tmax_Summer,Tmin_Winter,VWC_Winter_whole,VWC_Spring_whole,VWC_Summer_whole,VWC_Fall_whole
0,-110.047,37.604,1980,Hist,historical,sc1,0.0,0.0,78.505,4.673,10.28,0.0,0.0,1.56,36.16,75.0,0.032,13.79,2.69,0.965,23.159,37.05,-12.45,0.113,0.097,0.042,0.052
1,-110.047,37.604,1981,Hist,historical,sc1,0.0,0.0,78.505,4.673,10.28,0.0,0.0,5.043,36.08,79.0,0.034,2.25,9.39,3.334,23.271,37.55,-9.35,0.049,0.061,0.043,0.094
2,-110.047,37.604,1982,Hist,historical,sc1,0.0,0.0,78.505,4.673,10.28,0.0,0.0,4.528,34.99,83.0,0.199,4.12,9.5,-0.016,22.057,36.65,-16.55,0.109,0.075,0.046,0.068
3,-110.047,37.604,1983,Hist,historical,sc1,0.0,0.0,78.505,4.673,10.28,0.0,0.0,5.17,33.69,85.0,0.096,7.09,10.22,0.409,21.328,34.55,-15.05,0.12,0.103,0.044,0.075
4,-110.047,37.604,1984,Hist,historical,sc1,0.0,0.0,78.505,4.673,10.28,0.0,0.0,5.23,34.01,91.0,0.045,4.77,9.49,-1.047,21.96,35.35,-18.45,0.12,0.078,0.043,0.07
5,-110.047,37.604,1985,Hist,historical,sc1,0.0,0.0,78.505,4.673,10.28,0.0,0.0,2.116,36.32,87.0,0.105,7.66,4.81,-0.94,23.389,37.55,-18.15,0.119,0.107,0.043,0.107
6,-110.047,37.604,1986,Hist,historical,sc1,0.0,0.0,78.505,4.673,10.28,0.0,0.0,4.435,34.18,74.0,0.113,2.19,9.85,2.294,22.451,35.05,-11.45,0.115,0.076,0.044,0.104
7,-110.047,37.604,1987,Hist,historical,sc1,0.0,0.0,78.505,4.673,10.28,0.0,0.0,4.574,33.22,85.0,0.312,6.03,11.04,-0.41,22.016,34.25,-14.15,0.126,0.092,0.048,0.081
8,-110.047,37.604,1988,Hist,historical,sc1,0.0,0.0,78.505,4.673,10.28,0.0,0.0,4.32,34.69,86.0,0.027,5.44,7.98,-1.257,23.25,35.75,-16.15,0.117,0.09,0.042,0.049
9,-110.047,37.604,1989,Hist,historical,sc1,0.0,0.0,78.505,4.673,10.28,0.0,0.0,3.272,36.62,86.0,0.092,5.13,6.69,-1.844,22.512,38.25,-19.65,0.049,0.054,0.044,0.042
10,-110.047,37.604,1990,Hist,historical,sc1,0.0,0.0,78.505,4.673,10.28,0.0,0.0,2.986,36.15,82.0,0.011,3.52,5.41,-0.097,23.234,37.35,-14.65,0.044,0.044,0.042,0.077
11,-110.047,37.604,1991,Hist,historical,sc1,0.0,0.0,78.505,4.673,10.28,0.0,0.0,3.954,33.69,84.0,0.01,4.85,6.39,-2.094,22.31,34.85,-24.55,0.087,0.082,0.042,0.071
12,-110.047,37.604,1992,Hist,historical,sc1,0.0,0.0,78.505,4.673,10.28,0.0,0.0,3.622,33.4,85.0,0.013,6.39,5.95,-1.282,21.676,34.35,-14.35,0.114,0.095,0.042,0.058
13,-110.047,37.604,1993,Hist,historical,sc1,0.0,0.0,78.505,4.673,10.28,0.0,0.0,2.442,33.72,83.0,0.093,13.81,5.55,-1.297,21.298,34.75,-14.05,0.107,0.092,0.043,0.072
14,-110.047,37.604,1994,Hist,historical,sc1,0.0,0.0,78.505,4.673,10.28,0.0,0.0,2.021,36.37,84.0,0.0,3.23,2.56,-0.433,24.529,37.35,-14.25,0.075,0.054,0.041,0.059
15,-110.047,37.604,1995,Hist,historical,sc1,0.0,0.0,78.505,4.673,10.28,0.0,0.0,4.157,35.39,67.0,0.012,7.22,6.76,1.736,22.068,37.25,-10.75,0.115,0.09,0.042,0.042
16,-110.047,37.604,1996,Hist,historical,sc1,0.0,0.0,78.505,4.673,10.28,0.0,0.0,3.063,35.38,66.0,0.001,2.93,4.72,1.551,24.168,36.05,-12.55,0.047,0.042,0.042,0.087
17,-110.047,37.604,1997,Hist,historical,sc1,0.0,0.0,78.505,4.673,10.28,0.0,0.0,3.8,33.52,70.0,0.324,8.04,9.18,0.671,22.102,35.45,-13.85,0.135,0.093,0.049,0.074
18,-110.047,37.604,1998,Hist,historical,sc1,0.0,0.0,78.505,4.673,10.28,0.0,0.0,3.196,35.73,84.0,0.057,5.19,5.69,0.088,22.547,37.25,-11.65,0.095,0.07,0.043,0.086
19,-110.047,37.604,1999,Hist,historical,sc1,0.0,0.0,78.505,4.673,10.28,0.0,0.0,6.327,33.14,73.0,0.312,2.66,14.56,1.833,21.665,34.35,-15.05,0.112,0.072,0.049,0.042
20,-110.047,37.604,2000,Hist,historical,sc1,0.0,0.0,78.505,4.673,10.28,0.0,0.0,2.989,35.94,63.0,0.001,5.1,4.78,1.468,23.942,36.85,-12.65,0.059,0.066,0.041,0.082
21,-110.047,37.604,2001,Hist,historical,sc1,0.0,0.0,78.505,4.673,10.28,0.0,0.0,4.105,35.3,79.0,0.078,6.24,8.13,0.356,23.128,36.05,-12.95,0.117,0.091,0.043,0.043
22,-110.047,37.604,2002,Hist,historical,sc1,0.0,0.0,78.505,4.673,10.28,0.0,0.0,2.189,36.26,86.0,0.0,2.21,3.0,-0.85,24.238,37.25,-14.25,0.062,0.043,0.041,0.095
23,-110.047,37.604,2003,Hist,historical,sc1,0.0,0.0,78.505,4.673,10.28,0.0,0.0,3.085,36.86,74.0,0.028,5.99,5.4,1.374,24.264,38.15,-12.05,0.087,0.089,0.042,0.088
24,-110.047,37.604,2004,Hist,historical,sc1,0.0,0.0,78.505,4.673,10.28,0.0,0.0,1.998,34.2,81.0,0.0,6.1,2.76,-0.874,22.707,35.15,-14.95,0.106,0.085,0.041,0.103
25,-110.047,37.604,2005,Hist,historical,sc1,0.0,0.0,78.505,4.673,10.28,0.0,0.0,3.814,37.29,64.0,0.107,13.1,8.14,1.402,22.296,38.25,-14.35,0.138,0.093,0.044,0.056
26,-110.047,37.604,2006,Hist,historical,sc1,0.0,0.0,78.505,4.673,10.28,0.0,0.0,4.04,35.69,84.0,0.02,1.83,7.13,0.726,23.895,36.95,-14.85,0.05,0.066,0.042,0.1
27,-110.047,37.604,2007,Hist,historical,sc1,0.0,0.0,78.505,4.673,10.28,0.0,0.0,3.722,35.71,79.0,0.057,3.39,7.59,-0.267,24.071,36.25,-16.45,0.093,0.058,0.043,0.056
28,-110.047,37.604,2008,Hist,historical,sc1,0.0,0.0,78.505,4.673,10.28,0.0,0.0,3.183,34.22,78.0,0.049,13.12,6.65,-2.259,22.488,35.25,-18.65,0.122,0.085,0.043,0.045
29,-110.047,37.604,2009,Hist,historical,sc1,0.0,0.0,78.505,4.673,10.28,0.0,0.0,1.811,34.86,74.0,0.0,5.99,2.48,0.204,22.446,36.25,-17.15,0.097,0.07,0.041,0.045
30,-110.047,37.604,2010,Hist,historical,sc1,0.0,0.0,78.505,4.673,10.28,0.0,0.0,4.373,35.76,88.0,0.277,12.04,9.85,-2.407,22.621,37.75,-17.15,0.056,0.089,0.048,0.055
31,-110.047,37.604,2011,Hist,historical,sc1,0.0,0.0,78.505,4.673,10.28,0.0,0.0,3.79,34.8,76.0,0.002,5.5,5.66,-0.729,22.973,35.85,-23.05,0.08,0.059,0.042,0.053
32,-110.047,37.604,2012,Hist,historical,sc1,0.0,0.0,78.505,4.673,10.28,0.0,0.0,2.969,35.18,88.0,0.127,5.47,6.7,0.069,23.962,35.75,-14.85,0.073,0.057,0.044,0.046
33,-110.047,37.604,2013,Hist,historical,sc1,0.0,0.0,78.505,4.673,10.28,0.0,0.0,3.05,36.19,83.0,0.174,7.25,7.91,-1.191,22.953,38.55,-19.75,0.089,0.076,0.045,0.109
34,-110.047,37.604,2014,Hist,historical,sc1,0.0,0.0,78.505,4.673,10.28,0.0,0.0,3.463,34.51,73.0,0.081,3.92,6.9,0.583,22.222,35.95,-17.95,0.117,0.069,0.043,0.064
35,-110.047,37.604,2015,Hist,historical,sc1,0.0,0.0,78.505,4.673,10.28,0.0,0.0,5.344,34.84,56.0,0.25,7.25,13.03,1.998,22.373,36.25,-15.05,0.082,0.084,0.047,0.091
36,-110.047,37.604,2016,Hist,historical,sc1,0.0,0.0,78.505,4.673,10.28,0.0,0.0,3.563,36.09,76.0,0.092,6.89,6.91,-0.938,23.679,37.85,-16.35,0.117,0.083,0.043,0.045
37,-110.047,37.604,2017,Hist,historical,sc1,0.0,0.0,78.505,4.673,10.28,0.0,0.0,3.071,36.03,62.0,0.029,9.64,6.1,1.096,24.115,37.35,-14.85,0.099,0.08,0.042,0.043
38,-110.047,37.604,2018,Hist,historical,sc1,0.0,0.0,78.505,4.673,10.28,0.0,0.0,2.177,35.25,69.0,0.012,2.67,4.48,2.131,24.55,35.95,-12.15,0.045,0.042,0.042,0.093
39,-110.047,37.604,2021,NT,4.5,sc22,0.0,0.0,78.505,4.673,10.28,0.0,0.0,3.242,36.314,73.0,0.093,5.94,6.37,1.63,24.504,36.89,-12.77,0.115,0.079,0.044,0.051
40,-110.047,37.604,2021,NT,8.5,sc48,0.0,0.0,78.505,4.673,10.28,0.0,0.0,3.082,36.1,64.0,0.092,16.56,7.69,0.951,23.645,37.29,-12.0,0.14,0.088,0.043,0.059
41,-110.047,37.604,2021,NT,8.5,sc47,0.0,0.0,78.505,4.673,10.28,0.0,0.0,2.554,36.064,75.0,0.001,12.59,4.43,-0.529,25.132,37.13,-21.65,0.105,0.093,0.042,0.085
42,-110.047,37.604,2021,NT,8.5,sc46,0.0,0.0,78.505,4.673,10.28,0.0,0.0,1.724,36.008,81.0,0.124,6.44,3.81,2.314,23.662,36.82,-10.19,0.1,0.075,0.044,0.048
43,-110.047,37.604,2021,NT,8.5,sc45,0.0,0.0,78.505,4.673,10.28,0.0,0.0,2.836,37.518,80.0,0.15,10.02,7.05,0.726,25.265,38.98,-12.39,0.126,0.091,0.044,0.087
44,-110.047,37.604,2021,NT,8.5,sc44,0.0,0.0,78.505,4.673,10.28,0.0,0.0,3.574,37.031,58.0,0.239,10.56,11.45,3.52,24.551,38.29,-9.89,0.124,0.086,0.047,0.078
45,-110.047,37.604,2021,NT,8.5,sc43,0.0,0.0,78.505,4.673,10.28,0.0,0.0,1.326,37.617,78.0,0.0,11.13,1.52,0.107,23.8,38.23,-17.99,0.118,0.09,0.041,0.064
46,-110.047,37.604,2021,NT,8.5,sc42,0.0,0.0,78.505,4.673,10.28,0.0,0.0,2.485,36.053,79.0,0.009,8.32,4.53,0.849,23.935,37.29,-16.48,0.124,0.088,0.042,0.064
47,-110.047,37.604,2021,NT,4.5,sc41,0.0,0.0,78.505,4.673,10.28,0.0,0.0,4.986,36.085,75.0,0.217,9.16,10.37,0.46,24.012,37.68,-13.72,0.132,0.083,0.046,0.049
48,-110.047,37.604,2021,NT,4.5,sc40,0.0,0.0,78.505,4.673,10.28,0.0,0.0,4.662,34.819,84.0,0.165,4.13,10.31,-1.33,23.326,35.81,-16.4,0.118,0.08,0.046,0.078
49,-110.047,37.604,2021,NT,4.5,sc39,0.0,0.0,78.505,4.673,10.28,0.0,0.0,0.455,37.699,75.0,0.0,7.59,0.43,1.207,24.298,38.51,-8.49,0.119,0.086,0.041,0.051
50,-110.047,37.604,2021,NT,4.5,sc38,0.0,0.0,78.505,4.673,10.28,0.0,0.0,5.04,39.86,65.0,0.609,7.58,14.51,1.615,24.136,40.83,-10.95,0.11,0.084,0.055,0.1
51,-110.047,37.604,2021,NT,4.5,sc37,0.0,0.0,78.505,4.673,10.28,0.0,0.0,4.146,35.799,67.0,0.015,8.28,7.77,1.66,22.421,37.77,-12.01,0.134,0.09,0.043,0.059
52,-110.047,37.604,2021,NT,8.5,sc49,0.0,0.0,78.505,4.673,10.28,0.0,0.0,2.585,36.937,70.0,0.0,11.32,4.11,0.925,24.281,38.67,-22.92,0.136,0.077,0.042,0.047
53,-110.047,37.604,2021,NT,4.5,sc36,0.0,0.0,78.505,4.673,10.28,0.0,0.0,5.049,35.357,82.0,0.001,4.09,7.97,0.279,23.75,36.5,-12.45,0.058,0.045,0.042,0.049
54,-110.047,37.604,2021,NT,4.5,sc34,0.0,0.0,78.505,4.673,10.28,0.0,0.0,2.295,36.048,87.0,0.001,1.01,3.88,1.59,24.488,36.82,-14.0,0.076,0.055,0.041,0.082
55,-110.047,37.604,2021,NT,4.5,sc33,0.0,0.0,78.505,4.673,10.28,0.0,0.0,2.703,35.964,79.0,0.014,1.71,4.78,0.533,23.504,37.02,-16.98,0.047,0.042,0.042,0.076
56,-110.047,37.604,2021,NT,4.5,sc32,0.0,0.0,78.505,4.673,10.28,0.0,0.0,2.554,36.837,76.0,0.0,3.96,3.71,0.73,24.999,38.68,-20.42,0.121,0.07,0.041,0.09
57,-110.047,37.604,2021,NT,4.5,sc31,0.0,0.0,78.505,4.673,10.28,0.0,0.0,3.499,35.226,46.0,0.025,11.92,6.2,4.041,24.359,35.48,-7.89,0.134,0.105,0.042,0.109
58,-110.047,37.604,2021,NT,4.5,sc30,0.0,0.0,78.505,4.673,10.28,0.0,0.0,5.135,33.516,74.0,0.094,6.16,10.55,0.928,21.535,34.45,-13.74,0.122,0.095,0.044,0.044
59,-110.047,37.604,2021,NT,4.5,sc29,0.0,0.0,78.505,4.673,10.28,0.0,0.0,4.42,34.311,71.0,0.17,6.54,11.2,1.314,23.219,34.91,-16.95,0.077,0.074,0.046,0.047
60,-110.047,37.604,2021,NT,4.5,sc28,0.0,0.0,78.505,4.673,10.28,0.0,0.0,2.272,36.263,72.0,0.001,7.46,3.54,1.264,23.518,36.88,-11.05,0.122,0.081,0.041,0.06
61,-110.047,37.604,2021,NT,4.5,sc27,0.0,0.0,78.505,4.673,10.28,0.0,0.0,2.254,35.824,81.0,0.045,9.13,4.62,-1.829,24.646,36.31,-23.58,0.064,0.086,0.042,0.067
62,-110.047,37.604,2021,NT,4.5,sc26,0.0,0.0,78.505,4.673,10.28,0.0,0.0,1.176,37.263,81.0,0.0,7.22,1.44,0.921,25.891,38.06,-14.71,0.115,0.098,0.041,0.045
63,-110.047,37.604,2021,NT,4.5,sc25,0.0,0.0,78.505,4.673,10.28,0.0,0.0,3.12,36.742,84.0,0.004,11.26,5.47,0.24,24.678,38.19,-14.65,0.12,0.086,0.042,0.043
64,-110.047,37.604,2021,NT,4.5,sc24,0.0,0.0,78.505,4.673,10.28,0.0,0.0,2.682,37.398,87.0,0.026,5.35,5.32,-0.334,25.543,37.74,-16.23,0.078,0.086,0.042,0.074
65,-110.047,37.604,2021,NT,4.5,sc23,0.0,0.0,78.505,4.673,10.28,0.0,0.0,2.402,36.51,71.0,0.0,6.44,3.09,1.389,24.11,37.95,-18.96,0.13,0.096,0.041,0.092
66,-110.047,37.604,2021,NT,4.5,sc35,0.0,0.0,78.505,4.673,10.28,0.0,0.0,5.048,36.011,65.0,0.058,4.36,9.94,1.281,23.439,36.59,-20.23,0.131,0.083,0.043,0.104
67,-110.047,37.604,2021,NT,8.5,sc50,0.0,0.0,78.505,4.673,10.28,0.0,0.0,5.287,32.84,83.0,0.177,11.07,13.08,-1.747,22.422,33.46,-21.03,0.135,0.091,0.046,0.069
68,-110.047,37.604,2021,NT,8.5,sc52,0.0,0.0,78.505,4.673,10.28,0.0,0.0,4.498,34.804,87.0,0.441,16.88,10.36,-4.154,23.507,36.14,-18.29,0.128,0.095,0.051,0.062
69,-110.047,37.604,2021,NT,8.5,sc51,0.0,0.0,78.505,4.673,10.28,0.0,0.0,4.528,35.056,78.0,0.412,3.21,11.97,-0.038,24.208,36.07,-15.26,0.131,0.068,0.05,0.113
70,-110.047,37.604,2021,NT,8.5,sc61,0.0,0.0,78.505,4.673,10.28,0.0,0.0,1.0,37.05,50.0,0.001,12.34,1.95,3.257,24.651,38.21,-15.57,0.123,0.094,0.041,0.079
71,-110.047,37.604,2021,NT,8.5,sc60,0.0,0.0,78.505,4.673,10.28,0.0,0.0,3.089,36.104,89.0,0.085,2.9,7.13,-2.064,23.558,37.13,-16.87,0.045,0.057,0.044,0.086
72,-110.047,37.604,2021,NT,8.5,sc59,0.0,0.0,78.505,4.673,10.28,0.0,0.0,3.17,36.195,54.0,0.086,3.68,7.01,4.045,24.738,37.4,-7.98,0.095,0.058,0.043,0.126
73,-110.047,37.604,2021,NT,8.5,sc58,0.0,0.0,78.505,4.673,10.28,0.0,0.0,5.087,40.56,59.0,0.209,3.27,12.95,1.644,25.958,46.11,-21.87,0.061,0.044,0.046,0.047
74,-110.047,37.604,2021,NT,8.5,sc57,0.0,0.0,78.505,4.673,10.28,0.0,0.0,2.59,36.848,48.0,0.05,8.76,5.23,4.756,24.427,39.57,-7.82,0.089,0.089,0.042,0.053
75,-110.047,37.604,2021,NT,8.5,sc56,0.0,0.0,78.505,4.673,10.28,0.0,0.0,4.678,34.823,80.0,0.374,9.38,11.24,0.88,23.089,35.88,-13.03,0.134,0.086,0.05,0.058
76,-110.047,37.604,2021,NT,8.5,sc55,0.0,0.0,78.505,4.673,10.28,0.0,0.0,6.379,35.185,73.0,0.381,7.83,13.53,1.796,22.179,36.92,-12.56,0.134,0.089,0.05,0.068
77,-110.047,37.604,2021,NT,8.5,sc54,0.0,0.0,78.505,4.673,10.28,0.0,0.0,2.065,36.975,81.0,0.001,10.15,2.89,-0.774,25.379,37.43,-15.32,0.08,0.092,0.041,0.042
78,-110.047,37.604,2021,NT,8.5,sc53,0.0,0.0,78.505,4.673,10.28,0.0,0.0,3.015,36.128,85.0,0.004,1.65,4.45,0.552,24.049,37.64,-13.8,0.043,0.042,0.042,0.081
79,-110.047,37.604,2022,NT,4.5,sc39,0.0,0.0,78.505,4.673,10.28,0.0,0.0,3.337,36.768,68.0,0.032,3.57,5.85,2.456,25.521,37.92,-12.75,0.057,0.05,0.042,0.043
80,-110.047,37.604,2022,NT,4.5,sc38,0.0,0.0,78.505,4.673,10.28,0.0,0.0,4.824,38.67,75.0,0.462,6.53,11.23,0.572,23.986,40.16,-11.92,0.12,0.081,0.052,0.07
81,-110.047,37.604,2022,NT,4.5,sc37,0.0,0.0,78.505,4.673,10.28,0.0,0.0,1.844,36.343,68.0,0.0,2.96,2.48,1.702,24.465,37.63,-14.6,0.059,0.048,0.041,0.048
82,-110.047,37.604,2022,NT,4.5,sc36,0.0,0.0,78.505,4.673,10.28,0.0,0.0,2.721,36.373,75.0,0.047,2.44,7.65,2.263,24.777,36.95,-10.16,0.056,0.047,0.043,0.066
83,-110.047,37.604,2022,NT,4.5,sc35,0.0,0.0,78.505,4.673,10.28,0.0,0.0,1.532,36.588,80.0,0.0,4.47,1.86,2.19,24.15,37.86,-15.29,0.104,0.081,0.041,0.059
84,-110.047,37.604,2022,NT,4.5,sc34,0.0,0.0,78.505,4.673,10.28,0.0,0.0,2.58,35.201,72.0,0.315,3.02,11.53,2.083,24.821,35.57,-12.18,0.112,0.091,0.048,0.119
85,-110.047,37.604,2022,NT,4.5,sc33,0.0,0.0,78.505,4.673,10.28,0.0,0.0,1.809,37.143,76.0,0.155,8.24,5.23,-0.498,23.62,37.77,-19.55,0.118,0.084,0.044,0.107
86,-110.047,37.604,2022,NT,4.5,sc32,0.0,0.0,78.505,4.673,10.28,0.0,0.0,2.055,37.773,64.0,0.0,3.05,3.4,3.146,24.841,39.5,-8.96,0.118,0.066,0.041,0.085
87,-110.047,37.604,2022,NT,4.5,sc40,0.0,0.0,78.505,4.673,10.28,0.0,0.0,3.329,38.279,81.0,0.0,6.75,4.67,0.129,26.005,39.02,-12.4,0.129,0.09,0.041,0.068
88,-110.047,37.604,2022,NT,4.5,sc31,0.0,0.0,78.505,4.673,10.28,0.0,0.0,3.916,36.274,50.0,0.077,5.35,7.1,3.827,23.964,37.4,-7.44,0.127,0.078,0.044,0.089
89,-110.047,37.604,2022,NT,4.5,sc29,0.0,0.0,78.505,4.673,10.28,0.0,0.0,2.358,38.064,72.0,0.0,5.58,3.57,0.127,25.365,39.16,-17.78,0.075,0.053,0.041,0.043
90,-110.047,37.604,2022,NT,4.5,sc28,0.0,0.0,78.505,4.673,10.28,0.0,0.0,4.063,36.91,79.0,0.717,7.56,14.1,-0.306,24.742,38.92,-15.53,0.083,0.072,0.056,0.043
