long,lat,year,TimePeriod,RCP,scenario,treecanopy_percent,Ann_Herb_percent,Bare_percent,Herb_percent,Litter_percent,Shrub_percent,DrySoilDays_Summer_whole,Evap_Summer,ExtremeShortTermDryStress_Summer_whole,FrostDays_Winter,NonDrySWA_Summer_whole,PPT_Winter,PPT_Summer,T_Winter,T_Summer,Tmax_Summer,Tmin_Winter,VWC_Winter_whole,VWC_Spring_whole,VWC_Summer_whole,VWC_Fall_whole
-110.047,37.604,1980,Hist,historical,sc1,0.0,0.0,78.505,4.673,10.28,0.0,0.0,1.56,36.16,75.0,0.032,13.79,2.69,0.965,23.159,37.05,-12.45,0.113,0.097,0.042,0.052
-110.047,37.604,1981,Hist,historical,sc1,0.0,0.0,78.505,4.673,10.28,0.0,0.0,5.043,36.08,79.0,0.034,2.25,9.39,3.334,23.271,37.55,-9.35,0.049,0.061,0.043,0.094
-110.047,37.604,1982,Hist,historical,sc1,0.0,0.0,78.505,4.673,10.28,0.0,0.0,4.528,34.99,83.0,0.199,4.12,9.5,-0.016,22.057,36.65,-16.55,0.109,0.075,0.046,0.068
-110.047,37.604,1983,Hist,historical,sc1,0.0,0.0,78.505,4.673,10.28,0.0,0.0,5.17,33.69,85.0,0.096,7.09,10.22,0.409,21.328,34.55,-15.05,0.12,0.103,0.044,0.075
-110.047,37.604,1984,Hist,historical,sc1,0.0,0.0,78.505,4.673,10.28,0.0,0.0,5.23,34.01,91.0,0.045,4.77,9.49,-1.047,21.96,35.35,-18.45,0.12,0.078,0.043,0.07
-110.047,37.604,1985,Hist,historical,sc1,0.0,0.0,78.505,4.673,10.28,0.0,0.0,2.116,36.32,87.0,0.105,7.66,4.81,-0.94,23.389,37.55,-18.15,0.119,0.107,0.043,0.107
-110.047,37.604,1986,Hist,historical,sc1,0.0,0.0,78.505,4.673,10.28,0.0,0.0,4.435,34.18,74.0,0.113,2.19,9.85,2.294,22.451,35.05,-11.45,0.115,0.076,0.044,0.104
-110.047,37.604,1987,Hist,historical,sc1,0.0,0.0,78.505,4.673,10.28,0.0,0.0,4.574,33.22,85.0,0.312,6.03,11.04,-0.41,22.016,34.25,-14.15,0.126,0.092,0.048,0.081
-110.047,37.604,1988,Hist,historical,sc1,0.0,0.0,78.505,4.673,10.28,0.0,0.0,4.32,34.69,86.0,0.027,5.44,7.98,-1.257,23.25,35.75,-16.15,0.117,0.09,0.042,0.049
-110.047,37.604,1989,Hist,historical,sc1,0.0,0.0,78.505,4.673,10.28,0.0,0.0,3.272,36.62,86.0,0.092,5.13,6.69,-1.844,22.512,38.25,-19.65,0.049,0.054,0.044,0.042
-110.047,37.604,1990,Hist,historical,sc1,0.0,0.0,78.505,4.673,10.28,0.0,0.0,2.986,36.15,82.0,0.011,3.52,5.41,-0.097,23.234,37.35,-14.65,0.044,0.044,0.042,0.077
-110.047,37.604,1991,Hist,historical,sc1,0.0,0.0,78.505,4.673,10.28,0.0,0.0,3.954,33.69,84.0,0.01,4.85,6.39,-2.094,22.31,34.85,-24.55,0.087,0.082,0.042,0.071
-110.047,37.604,1992,Hist,historical,sc1,0.0,0.0,78.505,4.673,10.28,0.0,0.0,3.622,33.4,85.0,0.013,6.39,5.95,-1.282,21.676,34.35,-14.35,0.114,0.095,0.042,0.058
-110.047,37.604,1993,Hist,historical,sc1,0.0,0.0,78.505,4.673,10.28,0.0,0.0,2.442,33.72,83.0,0.093,13.81,5.55,-1.297,21.298,34.75,-14.05,0.107,0.092,0.043,0.072
-110.047,37.604,1994,Hist,historical,sc1,0.0,0.0,78.505,4.673,10.28,0.0,0.0,2.021,36.37,84.0,0.0,3.23,2.56,-0.433,24.529,37.35,-14.25,0.075,0.054,0.041,0.059
-110.047,37.604,1995,Hist,historical,sc1,0.0,0.0,78.505,4.673,10.28,0.0,0.0,4.157,35.39,67.0,0.012,7.22,6.76,1.736,22.068,37.25,-10.75,0.115,0.09,0.042,0.042
-110.047,37.604,1996,Hist,historical,sc1,0.0,0.0,78.505,4.673,10.28,0.0,0.0,3.063,35.38,66.0,0.001,2.93,4.72,1.551,24.168,36.05,-12.55,0.047,0.042,0.042,0.087
-110.047,37.604,1997,Hist,historical,sc1,0.0,0.0,78.505,4.673,10.28,0.0,0.0,3.8,33.52,70.0,0.324,8.04,9.18,0.671,22.102,35.45,-13.85,0.135,0.093,0.049,0.074
-110.047,37.604,1998,Hist,historical,sc1,0.0,0.0,78.505,4.673,10.28,0.0,0.0,3.196,35.73,84.0,0.057,5.19,5.69,0.088,22.547,37.25,-11.65,0.095,0.07,0.043,0.086
-110.047,37.604,1999,Hist,historical,sc1,0.0,0.0,78.505,4.673,10.28,0.0,0.0,6.327,33.14,73.0,0.312,2.66,14.56,1.833,21.665,34.35,-15.05,0.112,0.072,0.049,0.042
-110.047,37.604,2000,Hist,historical,sc1,0.0,0.0,78.505,4.673,10.28,0.0,0.0,2.989,35.94,63.0,0.001,5.1,4.78,1.468,23.942,36.85,-12.65,0.059,0.066,0.041,0.082
-110.047,37.604,2001,Hist,historical,sc1,0.0,0.0,78.505,4.673,10.28,0.0,0.0,4.105,35.3,79.0,0.078,6.24,8.13,0.356,23.128,36.05,-12.95,0.117,0.091,0.043,0.043
-110.047,37.604,2002,Hist,historical,sc1,0.0,0.0,78.505,4.673,10.28,0.0,0.0,2.189,36.26,86.0,0.0,2.21,3.0,-0.85,24.238,37.25,-14.25,0.062,0.043,0.041,0.095
-110.047,37.604,2003,Hist,historical,sc1,0.0,0.0,78.505,4.673,10.28,0.0,0.0,3.085,36.86,74.0,0.028,5.99,5.4,1.374,24.264,38.15,-12.05,0.087,0.089,0.042,0.088
-110.047,37.604,2004,Hist,historical,sc1,0.0,0.0,78.505,4.673,10.28,0.0,0.0,1.998,34.2,81.0,0.0,6.1,2.76,-0.874,22.707,35.15,-14.95,0.106,0.085,0.041,0.103
-110.047,37.604,2005,Hist,historical,sc1,0.0,0.0,78.505,4.673,10.28,0.0,0.0,3.814,37.29,64.0,0.107,13.1,8.14,1.402,22.296,38.25,-14.35,0.138,0.093,0.044,0.056
-110.047,37.604,2006,Hist,historical,sc1,0.0,0.0,78.505,4.673,10.28,0.0,0.0,4.04,35.69,84.0,0.02,1.83,7.13,0.726,23.895,36.95,-14.85,0.05,0.066,0.042,0.1
-110.047,37.604,2007,Hist,historical,sc1,0.0,0.0,78.505,4.673,10.28,0.0,0.0,3.722,35.71,79.0,0.057,3.39,7.59,-0.267,24.071,36.25,-16.45,0.093,0.058,0.043,0.056
-110.047,37.604,2008,Hist,historical,sc1,0.0,0.0,78.505,4.673,10.28,0.0,0.0,3.183,34.22,78.0,0.049,13.12,6.65,-2.259,22.488,35.25,-18.65,0.122,0.085,0.043,0.045
-110.047,37.604,2009,Hist,historical,sc1,0.0,0.0,78.505,4.673,10.28,0.0,0.0,1.811,34.86,74.0,0.0,5.99,2.48,0.204,22.446,36.25,-17.15,0.097,0.07,0.041,0.045
-110.047,37.604,2010,Hist,historical,sc1,0.0,0.0,78.505,4.673,10.28,0.0,0.0,4.373,35.76,88.0,0.277,12.04,9.85,-2.407,22.621,37.75,-17.15,0.056,0.089,0.048,0.055
-110.047,37.604,2011,Hist,historical,sc1,0.0,0.0,78.505,4.673,10.28,0.0,0.0,3.79,34.8,76.0,0.002,5.5,5.66,-0.729,22.973,35.85,-23.05,0.08,0.059,0.042,0.053
-110.047,37.604,2012,Hist,historical,sc1,0.0,0.0,78.505,4.673,10.28,0.0,0.0,2.969,35.18,88.0,0.127,5.47,6.7,0.069,23.962,35.75,-14.85,0.073,0.057,0.044,0.046
-110.047,37.604,2013,Hist,historical,sc1,0.0,0.0,78.505,4.673,10.28,0.0,0.0,3.05,36.19,83.0,0.174,7.25,7.91,-1.191,22.953,38.55,-19.75,0.089,0.076,0.045,0.109
-110.047,37.604,2014,Hist,historical,sc1,0.0,0.0,78.505,4.673,10.28,0.0,0.0,3.463,34.51,73.0,0.081,3.92,6.9,0.583,22.222,35.95,-17.95,0.117,0.069,0.043,0.064
-110.047,37.604,2015,Hist,historical,sc1,0.0,0.0,78.505,4.673,10.28,0.0,0.0,5.344,34.84,56.0,0.25,7.25,13.03,1.998,22.373,36.25,-15.05,0.082,0.084,0.047,0.091
-110.047,37.604,2016,Hist,historical,sc1,0.0,0.0,78.505,4.673,10.28,0.0,0.0,3.563,36.09,76.0,0.092,6.89,6.91,-0.938,23.679,37.85,-16.35,0.117,0.083,0.043,0.045
-110.047,37.604,2017,Hist,historical,sc1,0.0,0.0,78.505,4.673,10.28,0.0,0.0,3.071,36.03,62.0,0.029,9.64,6.1,1.096,24.115,37.35,-14.85,0.099,0.08,0.042,0.043
-110.047,37.604,2018,Hist,historical,sc1,0.0,0.0,78.505,4.673,10.28,0.0,0.0,2.177,35.25,69.0,0.012,2.67,4.48,2.131,24.55,35.95,-12.15,0.045,0.042,0.042,0.093
-110.046,37.603,1980,Hist,historical,sc1,5.66,0.0,72.642,6.604,5.66,5.66,0.0,1.5,36.16,75.0,0.034,13.79,2.69,0.965,23.159,37.05,-12.45,0.121,0.095,0.047,0.058
-110.046,37.603,1980,Hist,historical,sc1,9.91,0.0,63.063,7.207,9.91,9.91,0.0,1.523,36.16,75.0,0.101,13.79,2.69,0.965,23.159,37.05,-12.45,0.113,0.095,0.047,0.055
-110.046,37.603,1981,Hist,historical,sc1,5.66,0.0,72.642,6.604,5.66,5.66,0.0,5.088,36.08,79.0,0.039,2.25,9.39,3.334,23.271,37.55,-9.35,0.055,0.064,0.048,0.098
-110.046,37.603,1981,Hist,historical,sc1,9.91,0.0,63.063,7.207,9.91,9.91,0.0,5.288,36.08,79.0,0.042,2.25,9.39,3.334,23.271,37.55,-9.35,0.053,0.058,0.048,0.085
-110.046,37.603,1982,Hist,historical,sc1,5.66,0.0,72.642,6.604,5.66,5.66,0.0,4.375,34.99,83.0,0.193,4.12,9.5,-0.016,22.057,36.65,-16.55,0.105,0.066,0.052,0.072
-110.046,37.603,1982,Hist,historical,sc1,9.91,0.0,63.063,7.207,9.91,9.91,0.0,4.475,34.79,83.0,0.285,4.12,9.5,-0.016,22.057,36.65,-16.55,0.086,0.055,0.051,0.065
-110.046,37.603,1983,Hist,historical,sc1,5.66,0.0,72.642,6.604,5.66,5.66,0.0,5.128,33.69,85.0,0.104,7.09,10.22,0.409,21.328,34.55,-15.05,0.125,0.104,0.05,0.078
-110.046,37.603,1983,Hist,historical,sc1,9.91,0.0,63.063,7.207,9.91,9.91,0.0,5.279,33.69,85.0,0.108,7.09,10.22,0.409,21.328,34.55,-15.05,0.1,0.105,0.05,0.067
-110.046,37.603,1984,Hist,historical,sc1,5.66,0.0,72.642,6.604,5.66,5.66,0.0,5.205,34.01,91.0,0.052,4.77,9.49,-1.047,21.96,35.35,-18.45,0.115,0.067,0.049,0.076
-110.046,37.603,1984,Hist,historical,sc1,9.91,0.0,63.063,7.207,9.91,9.91,0.0,5.384,34.01,91.0,0.058,4.77,9.49,-1.047,21.96,35.35,-18.45,0.091,0.054,0.049,0.067
-110.046,37.603,1985,Hist,historical,sc1,5.66,0.0,72.642,6.604,5.66,5.66,0.0,2.132,36.32,87.0,0.108,7.66,4.81,-0.94,23.389,37.55,-18.15,0.118,0.105,0.049,0.112
-110.046,37.603,1985,Hist,historical,sc1,9.91,0.0,63.063,7.207,9.91,9.91,0.0,2.172,36.32,87.0,0.164,7.66,4.81,-0.94,23.389,37.55,-18.15,0.094,0.09,0.049,0.105
-110.046,37.603,1986,Hist,historical,sc1,5.66,0.0,72.642,6.604,5.66,5.66,0.0,4.407,34.18,74.0,0.116,2.19,9.85,2.294,22.451,35.05,-11.45,0.114,0.064,0.05,0.113
-110.046,37.603,1986,Hist,historical,sc1,9.91,0.0,63.063,7.207,9.91,9.91,0.0,4.55,34.18,74.0,0.174,2.19,9.85,2.294,22.451,35.05,-11.45,0.112,0.062,0.05,0.098
-110.046,37.603,1987,Hist,historical,sc1,5.66,0.0,72.642,6.604,5.66,5.66,0.0,4.395,33.22,85.0,0.315,6.03,11.04,-0.41,22.016,34.25,-14.15,0.128,0.084,0.055,0.087
-110.046,37.603,1987,Hist,historical,sc1,9.91,0.0,63.063,7.207,9.91,9.91,0.0,4.462,33.22,85.0,0.471,6.03,11.04,-0.41,22.016,34.25,-14.15,0.126,0.079,0.054,0.084
-110.046,37.603,1988,Hist,historical,sc1,5.66,0.0,72.642,6.604,5.66,5.66,0.0,4.346,34.69,86.0,0.028,5.44,7.98,-1.257,23.25,35.75,-16.15,0.115,0.078,0.048,0.054
-110.046,37.603,1988,Hist,historical,sc1,9.91,0.0,63.063,7.207,9.91,9.91,0.0,4.531,34.69,86.0,0.029,5.44,7.98,-1.257,23.25,35.75,-16.15,0.115,0.072,0.048,0.052
-110.046,37.603,1989,Hist,historical,sc1,5.66,0.0,72.642,6.604,5.66,5.66,0.0,3.191,36.62,86.0,0.098,5.13,6.69,-1.844,22.512,38.25,-19.65,0.055,0.057,0.05,0.047
-110.046,37.603,1989,Hist,historical,sc1,9.91,0.0,63.063,7.207,9.91,9.91,0.0,3.253,36.62,86.0,0.149,5.13,6.69,-1.844,22.512,38.25,-19.65,0.053,0.053,0.049,0.047
-110.046,37.603,1990,Hist,historical,sc1,5.66,0.0,72.642,6.604,5.66,5.66,0.0,2.998,36.15,82.0,0.015,3.52,5.41,-0.097,23.234,37.35,-14.65,0.049,0.05,0.047,0.08
-110.046,37.603,1990,Hist,historical,sc1,9.91,0.0,63.063,7.207,9.91,9.91,0.0,3.09,36.15,82.0,0.025,3.52,5.41,-0.097,23.234,37.35,-14.65,0.049,0.049,0.047,0.069
-110.046,37.603,1991,Hist,historical,sc1,5.66,0.0,72.642,6.604,5.66,5.66,0.0,3.927,33.69,84.0,0.016,4.85,6.39,-2.094,22.31,34.85,-24.55,0.078,0.072,0.048,0.079
-110.046,37.603,1991,Hist,historical,sc1,9.91,0.0,63.063,7.207,9.91,9.91,0.0,4.039,33.69,84.0,0.02,4.85,6.39,-2.094,22.31,34.85,-24.55,0.061,0.059,0.048,0.073
-110.046,37.603,1992,Hist,historical,sc1,5.66,0.0,72.642,6.604,5.66,5.66,0.0,3.619,33.4,85.0,0.019,6.39,5.95,-1.282,21.676,34.35,-14.35,0.115,0.09,0.048,0.065
-110.046,37.603,1992,Hist,historical,sc1,9.91,0.0,63.063,7.207,9.91,9.91,0.0,3.71,33.4,85.0,0.023,6.39,5.95,-1.282,21.676,34.35,-14.35,0.11,0.084,0.048,0.06
-110.046,37.603,1993,Hist,historical,sc1,5.66,0.0,72.642,6.604,5.66,5.66,0.0,2.464,33.72,83.0,0.091,13.81,5.55,-1.297,21.298,34.75,-14.05,0.112,0.09,0.049,0.078
-110.046,37.603,1993,Hist,historical,sc1,9.91,0.0,63.063,7.207,9.91,9.91,0.0,2.574,33.72,83.0,0.265,13.81,5.55,-1.297,21.298,34.75,-14.05,0.1,0.092,0.048,0.069
-110.046,37.603,1994,Hist,historical,sc1,5.66,0.0,72.642,6.604,5.66,5.66,0.0,1.992,36.37,84.0,0.0,3.23,2.56,-0.433,24.529,37.35,-14.25,0.07,0.054,0.046,0.065
-110.046,37.603,1994,Hist,historical,sc1,9.91,0.0,63.063,7.207,9.91,9.91,0.0,2.035,36.37,84.0,0.001,3.23,2.56,-0.433,24.529,37.35,-14.25,0.058,0.052,0.046,0.059
-110.046,37.603,1995,Hist,historical,sc1,5.66,0.0,72.642,6.604,5.66,5.66,0.0,4.125,35.39,67.0,0.018,7.22,6.76,1.736,22.068,37.25,-10.75,0.121,0.085,0.048,0.048
-110.046,37.603,1995,Hist,historical,sc1,9.91,0.0,63.063,7.207,9.91,9.91,0.0,4.235,35.39,67.0,0.021,7.22,6.76,1.736,22.068,37.25,-10.75,0.096,0.087,0.048,0.047
-110.046,37.603,1996,Hist,historical,sc1,5.66,0.0,72.642,6.604,5.66,5.66,0.0,3.015,35.38,66.0,0.001,2.93,4.72,1.551,24.168,36.05,-12.55,0.053,0.048,0.047,0.091
-110.046,37.603,1996,Hist,historical,sc1,9.91,0.0,63.063,7.207,9.91,9.91,0.0,3.118,35.38,66.0,0.001,2.93,4.72,1.551,24.168,36.05,-12.55,0.051,0.048,0.047,0.077
-110.046,37.603,1997,Hist,historical,sc1,5.66,0.0,72.642,6.604,5.66,5.66,0.0,3.747,33.52,70.0,0.328,8.04,9.18,0.671,22.102,35.45,-13.85,0.14,0.085,0.056,0.075
-110.046,37.603,1997,Hist,historical,sc1,9.91,0.0,63.063,7.207,9.91,9.91,0.0,3.798,33.52,70.0,0.322,8.04,9.18,0.671,22.102,35.45,-13.85,0.127,0.084,0.054,0.066
-110.046,37.603,1998,Hist,historical,sc1,5.66,0.0,72.642,6.604,5.66,5.66,0.0,3.183,35.73,84.0,0.06,5.19,5.69,0.088,22.547,37.25,-11.65,0.089,0.061,0.048,0.093
