long,lat,year,TimePeriod,RCP,scenario,treecanopy_percent,Ann_Herb_percent,Bare_percent,Herb_percent,Litter_percent,Shrub_percent,DrySoilDays_Summer_whole,Evap_Summer,ExtremeShortTermDryStress_Summer_whole,FrostDays_Winter,NonDrySWA_Summer_whole,PPT_Winter,PPT_Summer,T_Winter,T_Summer,Tmax_Summer,Tmin_Winter,VWC_Winter_whole,VWC_Spring_whole,VWC_Summer_whole,VWC_Fall_whole
-110.047,37.604,2021,NT,4.5,sc22,0.0,0.0,78.505,4.673,10.28,0.0,0.0,3.242,36.314,73.0,0.093,5.94,6.37,1.63,24.504,36.89,-12.77,0.115,0.079,0.044,0.051
-110.047,37.604,2021,NT,4.5,sc23,0.0,0.0,78.505,4.673,10.28,0.0,0.0,2.402,36.51,71.0,0.0,6.44,3.09,1.389,24.11,37.95,-18.96,0.13,0.096,0.041,0.092
-110.047,37.604,2021,NT,4.5,sc24,0.0,0.0,78.505,4.673,10.28,0.0,0.0,2.682,37.398,87.0,0.026,5.35,5.32,-0.334,25.543,37.74,-16.23,0.078,0.086,0.042,0.074
-110.047,37.604,2021,NT,4.5,sc25,0.0,0.0,78.505,4.673,10.28,0.0,0.0,3.12,36.742,84.0,0.004,11.26,5.47,0.24,24.678,38.19,-14.65,0.12,0.086,0.042,0.043
-110.047,37.604,2021,NT,4.5,sc26,0.0,0.0,78.505,4.673,10.28,0.0,0.0,1.176,37.263,81.0,0.0,7.22,1.44,0.921,25.891,38.06,-14.71,0.115,0.098,0.041,0.045
-110.047,37.604,2021,NT,4.5,sc27,0.0,0.0,78.505,4.673,10.28,0.0,0.0,2.254,35.824,81.0,0.045,9.13,4.62,-1.829,24.646,36.31,-23.58,0.064,0.086,0.042,0.067
-110.047,37.604,2021,NT,4.5,sc28,0.0,0.0,78.505,4.673,10.28,0.0,0.0,2.272,36.263,72.0,0.001,7.46,3.54,1.264,23.518,36.88,-11.05,0.122,0.081,0.041,0.06
-110.047,37.604,2021,NT,4.5,sc29,0.0,0.0,78.505,4.673,10.28,0.0,0.0,4.42,34.311,71.0,0.17,6.54,11.2,1.314,23.219,34.91,-16.95,0.077,0.074,0.046,0.047
-110.047,37.604,2021,NT,4.5,sc30,0.0,0.0,78.505,4.673,10.28,0.0,0.0,5.135,33.516,74.0,0.094,6.16,10.55,0.928,21.535,34.45,-13.74,0.122,0.095,0.044,0.044
-110.047,37.604,2021,NT,4.5,sc31,0.0,0.0,78.505,4.673,10.28,0.0,0.0,3.499,35.226,46.0,0.025,11.92,6.2,4.041,24.359,35.48,-7.89,0.134,0.105,0.042,0.109
-110.047,37.604,2021,NT,4.5,sc32,0.0,0.0,78.505,4.673,10.28,0.0,0.0,2.554,36.837,76.0,0.0,3.96,3.71,0.73,24.999,38.68,-20.42,0.121,0.07,0.041,0.09
-110.047,37.604,2021,NT,4.5,sc33,0.0,0.0,78.505,4.673,10.28,0.0,0.0,2.703,35.964,79.0,0.014,1.71,4.78,0.533,23.504,37.02,-16.98,0.047,0.042,0.042,0.076
-110.047,37.604,2021,NT,4.5,sc34,0.0,0.0,78.505,4.673,10.28,0.0,0.0,2.295,36.048,87.0,0.001,1.01,3.88,1.59,24.488,36.82,-14.0,0.076,0.055,0.041,0.082
-110.047,37.604,2021,NT,4.5,sc35,0.0,0.0,78.505,4.673,10.28,0.0,0.0,5.048,36.011,65.0,0.058,4.36,9.94,1.281,23.439,36.59,-20.23,0.131,0.083,0.043,0.104
-110.047,37.604,2021,NT,4.5,sc36,0.0,0.0,78.505,4.673,10.28,0.0,0.0,5.049,35.357,82.0,0.001,4.09,7.97,0.279,23.75,36.5,-12.45,0.058,0.045,0.042,0.049
-110.047,37.604,2021,NT,4.5,sc37,0.0,0.0,78.505,4.673,10.28,0.0,0.0,4.146,35.799,67.0,0.015,8.28,7.77,1.66,22.421,37.77,-12.01,0.134,0.09,0.043,0.059
-110.047,37.604,2021,NT,4.5,sc38,0.0,0.0,78.505,4.673,10.28,0.0,0.0,5.04,39.86,65.0,0.609,7.58,14.51,1.615,24.136,40.83,-10.95,0.11,0.084,0.055,0.1
-110.047,37.604,2021,NT,4.5,sc39,0.0,0.0,78.505,4.673,10.28,0.0,0.0,0.455,37.699,75.0,0.0,7.59,0.43,1.207,24.298,38.51,-8.49,0.119,0.086,0.041,0.051
-110.047,37.604,2021,NT,4.5,sc40,0.0,0.0,78.505,4.673,10.28,0.0,0.0,4.662,34.819,84.0,0.165,4.13,10.31,-1.33,23.326,35.81,-16.4,0.118,0.08,0.046,0.078
-110.047,37.604,2021,NT,4.5,sc41,0.0,0.0,78.505,4.673,10.28,0.0,0.0,4.986,36.085,75.0,0.217,9.16,10.37,0.46,24.012,37.68,-13.72,0.132,0.083,0.046,0.049
-110.047,37.604,2021,NT,8.5,sc42,0.0,0.0,78.505,4.673,10.28,0.0,0.0,2.485,36.053,79.0,0.009,8.32,4.53,0.849,23.935,37.29,-16.48,0.124,0.088,0.042,0.064
-110.047,37.604,2021,NT,8.5,sc43,0.0,0.0,78.505,4.673,10.28,0.0,0.0,1.326,37.617,78.0,0.0,11.13,1.52,0.107,23.8,38.23,-17.99,0.118,0.09,0.041,0.064
-110.047,37.604,2021,NT,8.5,sc44,0.0,0.0,78.505,4.673,10.28,0.0,0.0,3.574,37.031,58.0,0.239,10.56,11.45,3.52,24.551,38.29,-9.89,0.124,0.086,0.047,0.078
-110.047,37.604,2021,NT,8.5,sc45,0.0,0.0,78.505,4.673,10.28,0.0,0.0,2.836,37.518,80.0,0.15,10.02,7.05,0.726,25.265,38.98,-12.39,0.126,0.091,0.044,0.087
-110.047,37.604,2021,NT,8.5,sc46,0.0,0.0,78.505,4.673,10.28,0.0,0.0,1.724,36.008,81.0,0.124,6.44,3.81,2.314,23.662,36.82,-10.19,0.1,0.075,0.044,0.048
-110.047,37.604,2021,NT,8.5,sc47,0.0,0.0,78.505,4.673,10.28,0.0,0.0,2.554,36.064,75.0,0.001,12.59,4.43,-0.529,25.132,37.13,-21.65,0.105,0.093,0.042,0.085
-110.047,37.604,2021,NT,8.5,sc48,0.0,0.0,78.505,4.673,10.28,0.0,0.0,3.082,36.1,64.0,0.092,16.56,7.69,0.951,23.645,37.29,-12.0,0.14,0.088,0.043,0.059
-110.047,37.604,2021,NT,8.5,sc49,0.0,0.0,78.505,4.673,10.28,0.0,0.0,2.585,36.937,70.0,0.0,11.32,4.11,0.925,24.281,38.67,-22.92,0.136,0.077,0.042,0.047
-110.047,37.604,2021,NT,8.5,sc50,0.0,0.0,78.505,4.673,10.28,0.0,0.0,5.287,32.84,83.0,0.177,11.07,13.08,-1.747,22.422,33.46,-21.03,0.135,0.091,0.046,0.069
-110.047,37.604,2021,NT,8.5,sc51,0.0,0.0,78.505,4.673,10.28,0.0,0.0,4.528,35.056,78.0,0.412,3.21,11.97,-0.038,24.208,36.07,-15.26,0.131,0.068,0.05,0.113
-110.047,37.604,2021,NT,8.5,sc52,0.0,0.0,78.505,4.673,10.28,0.0,0.0,4.498,34.804,87.0,0.441,16.88,10.36,-4.154,23.507,36.14,-18.29,0.128,0.095,0.051,0.062
-110.047,37.604,2021,NT,8.5,sc53,0.0,0.0,78.505,4.673,10.28,0.0,0.0,3.015,36.128,85.0,0.004,1.65,4.45,0.552,24.049,37.64,-13.8,0.043,0.042,0.042,0.081
-110.047,37.604,2021,NT,8.5,sc54,0.0,0.0,78.505,4.673,10.28,0.0,0.0,2.065,36.975,81.0,0.001,10.15,2.89,-0.774,25.379,37.43,-15.32,0.08,0.092,0.041,0.042
-110.047,37.604,2021,NT,8.5,sc55,0.0,0.0,78.505,4.673,10.28,0.0,0.0,6.379,35.185,73.0,0.381,7.83,13.53,1.796,22.179,36.92,-12.56,0.134,0.089,0.05,0.068
-110.047,37.604,2021,NT,8.5,sc56,0.0,0.0,78.505,4.673,10.28,0.0,0.0,4.678,34.823,80.0,0.374,9.38,11.24,0.88,23.089,35.88,-13.03,0.134,0.086,0.05,0.058
-110.047,37.604,2021,NT,8.5,sc57,0.0,0.0,78.505,4.673,10.28,0.0,0.0,2.59,36.848,48.0,0.05,8.76,5.23,4.756,24.427,39.57,-7.82,0.089,0.089,0.042,0.053
-110.047,37.604,2021,NT,8.5,sc58,0.0,0.0,78.505,4.673,10.28,0.0,0.0,5.087,40.56,59.0,0.209,3.27,12.95,1.644,25.958,46.11,-21.87,0.061,0.044,0.046,0.047
-110.047,37.604,2021,NT,8.5,sc59,0.0,0.0,78.505,4.673,10.28,0.0,0.0,3.17,36.195,54.0,0.086,3.68,7.01,4.045,24.738,37.4,-7.98,0.095,0.058,0.043,0.126
-110.047,37.604,2021,NT,8.5,sc60,0.0,0.0,78.505,4.673,10.28,0.0,0.0,3.089,36.104,89.0,0.085,2.9,7.13,-2.064,23.558,37.13,-16.87,0.045,0.057,0.044,0.086
-110.047,37.604,2021,NT,8.5,sc61,0.0,0.0,78.505,4.673,10.28,0.0,0.0,1.0,37.05,50.0,0.001,12.34,1.95,3.257,24.651,38.21,-15.57,0.123,0.094,0.041,0.079
-110.047,37.604,2022,NT,4.5,sc22,0.0,0.0,78.505,4.673,10.28,0.0,0.0,2.812,36.77,76.0,0.017,1.95,4.79,2.071,25.174,37.84,-7.93,0.064,0.06,0.041,0.046
